matchId,date,Dust2,Vertigo,Overpass,Inferno,Nuke,Ancient,Mirage,Anubis,name,teamWin,roundsWins
2360210,2022-11-24,other,other,left,other,picked,removed,removed,not_included,Snakes Den,false,28
2360209,2022-11-24,other,removed,removed,other,picked,other,left,not_included,TeamOne,true,32
2360209,2022-11-24,removed,other,other,picked,other,removed,left,not_included,Strife,false,21
2360212,2022-11-24,other,removed,removed,other,other,left,picked,not_included,Disconnected,true,32
2360212,2022-11-24,removed,other,other,picked,removed,left,other,not_included,Mythic,false,23
2360140,2022-11-23,other,picked,left,other,other,removed,removed,not_included,ex-Finest,true,64
2360140,2022-11-23,picked,other,left,removed,removed,other,other,not_included,EPG Family,false,56
2360141,2022-11-23,other,other,removed,other,removed,left,picked,not_included,Bad News Eagles,true,52
2360141,2022-11-23,removed,picked,other,removed,other,left,other,not_included,1WIN,false,47
2360062,2022-11-23,removed,picked,other,left,other,removed,other,not_included,fnatic Rising,true,47
2360062,2022-11-23,other,other,removed,left,removed,other,picked,not_included,AGO,false,41
2360050,2022-11-23,removed,other,other,left,removed,other,picked,not_included,Liquid,true,32
2360050,2022-11-23,other,picked,removed,left,other,removed,other,not_included,G2,false,24
2360177,2022-11-23,left,other,removed,other,picked,removed,other,not_included,Lausanne SE,true,32
2360177,2022-11-23,left,removed,other,removed,other,other,picked,not_included,Irie Legacy,false,22
2360249,2022-11-23,removed,picked,other,other,other,left,removed,not_included,SINNERS,true,32
2360249,2022-11-23,other,other,removed,picked,removed,left,other,not_included,ECLOT,false,12
2360049,2022-11-23,other,removed,other,other,left,removed,picked,not_included,Natus Vincere,true,32
2360049,2022-11-23,picked,other,removed,removed,left,other,other,not_included,Fluxo,false,21
2360251,2022-11-23,left,removed,other,removed,other,other,picked,not_included,Enterprise,true,32
2360251,2022-11-23,left,other,removed,other,picked,removed,other,not_included,Entropiq Prague,false,24
2360248,2022-11-23,other,removed,picked,removed,other,other,left,not_included,9 Pandas,true,40
2360248,2022-11-23,removed,other,other,other,picked,removed,left,not_included,Websterz,false,39
2360263,2022-11-23,,,,,,,,,HOTU,true,0
2360263,2022-11-23,,,,,,,,,Spirit Academy,false,0
2360048,2022-11-23,removed,removed,left,other,other,picked,other,not_included,Heroic,true,45
2360048,2022-11-23,other,other,left,picked,removed,other,removed,not_included,Ninjas in Pyjamas,false,26
2360228,2022-11-23,other,removed,other,removed,other,picked,left,not_included,HOTU,true,51
2360228,2022-11-23,removed,other,removed,other,picked,other,left,not_included,Tricked,false,47
2360216,2022-11-23,removed,picked,other,left,other,removed,other,not_included,Nut-E,true,40
2360216,2022-11-23,other,other,removed,left,removed,other,picked,not_included,Dynasty,false,32
2360047,2022-11-23,other,removed,removed,left,other,other,picked,not_included,FaZe,true,32
2360047,2022-11-23,removed,other,other,left,removed,picked,other,not_included,OG,false,9
2360214,2022-11-23,removed,other,other,other,removed,left,picked,not_included,Antic,true,45
2360214,2022-11-23,other,removed,removed,picked,other,left,other,not_included,yellow,false,33
2360205,2022-11-23,removed,picked,other,other,removed,left,other,not_included,Iron Blood,true,44
2360205,2022-11-23,other,other,removed,picked,other,left,removed,not_included,Detonate,false,35
2360207,2022-11-23,removed,other,other,removed,other,picked,left,not_included,Vendetta,true,32
2360207,2022-11-23,other,picked,removed,other,removed,other,left,not_included,Red Wolves,false,18
2360208,2022-11-23,picked,other,other,removed,removed,other,left,not_included,ATK,true,32
2360208,2022-11-23,other,picked,removed,other,other,removed,left,not_included,Villainous,false,15
2360206,2022-11-23,removed,removed,other,left,picked,other,other,not_included,Disconnected,true,32
2360206,2022-11-23,other,other,removed,left,other,removed,picked,not_included,Magic School Bus,false,11
2360229,2022-11-22,other,removed,other,left,removed,other,picked,not_included,DUSTY,true,32
2360229,2022-11-22,removed,other,removed,left,other,picked,other,not_included,SAGA,false,10
2360223,2022-11-22,other,picked,left,removed,other,removed,other,not_included,Entropiq Prague,true,43
2360223,2022-11-22,removed,other,left,other,removed,other,picked,not_included,Cryptova,false,32
2360061,2022-11-22,removed,left,picked,removed,other,other,other,not_included,9INE,true,38
2360061,2022-11-22,other,left,other,other,picked,removed,removed,not_included,Falcons,false,31
2359907,2022-11-22,removed,left,picked,other,removed,other,other,not_included,Sprout,true,32
2359907,2022-11-22,other,left,other,removed,other,picked,removed,not_included,1WIN,false,24
2360139,2022-11-22,removed,removed,other,other,left,other,picked,not_included,Permitta,true,32
2360139,2022-11-22,other,other,removed,removed,left,picked,other,not_included,UNGENTIUM,false,15
2360138,2022-11-22,other,removed,left,picked,other,removed,other,not_included,K23,true,32
2360138,2022-11-22,removed,other,left,other,picked,other,removed,not_included,SINNERS,false,18
2360224,2022-11-22,other,other,removed,left,removed,picked,other,not_included,ECLOT,true,32
2360224,2022-11-22,removed,removed,other,left,other,other,picked,not_included,eSuba,false,21
2360222,2022-11-22,other,removed,removed,left,other,other,picked,not_included,Enterprise,true,32
2360222,2022-11-22,removed,other,other,left,picked,removed,other,not_included,ANDROMEDA,false,8
2360227,2022-11-22,other,picked,other,removed,left,removed,other,not_included,Spirit Academy,true,32
2360227,2022-11-22,removed,other,removed,other,left,other,picked,not_included,EC Brugge,false,21
2360221,2022-11-22,removed,other,other,other,picked,left,removed,not_included,SINNERS,true,32
2360221,2022-11-22,other,removed,removed,picked,other,left,other,not_included,Sampi,false,21
2360226,2022-11-22,other,removed,picked,other,removed,other,left,not_included,AVANGAR,true,32
2360226,2022-11-22,removed,other,other,picked,other,removed,left,not_included,Websterz,false,16
2360225,2022-11-22,left,other,other,removed,other,removed,picked,not_included,Monte,true,35
2360225,2022-11-22,left,removed,picked,other,removed,other,other,not_included,9 Pandas,false,29
2360176,2022-11-21,picked,other,other,left,removed,removed,other,not_included,Babos,true,35
2360176,2022-11-21,other,removed,picked,left,other,other,removed,not_included,NoNamers,false,30
