,team1,team2,result1,result2,date_of_match,reference
1358,Corinthians,Fluxo,1,2,2022-09-24,/matches/2359166/corinthians-vs-fluxo-cct-south-america-series-2
1359,eSuba,Into the Breach,0,2,2022-09-24,/matches/2359120/esuba-vs-into-the-breach-cct-central-europe-series-2
1360,Cloud9,FURIA,2,0,2022-09-24,/matches/2357749/cloud9-vs-furia-esl-pro-league-season-16
1361,ex-SKADE,LF0,2,0,2022-09-24,/matches/2359128/ex-skade-vs-lf0-esea-advanced-season-42-europe
1362,Isurus,Ape Gang,16,8,2022-09-24,/matches/2359169/isurus-vs-ape-gang-americas-supercup-2022
1363,Eternal Fire,0to100,16,5,2022-09-24,/matches/2359108/eternal-fire-vs-0to100-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
1364,EC Brugge,LeeK,2,0,2022-09-24,/matches/2359153/ec-brugge-vs-leek-esea-advanced-season-42-europe
1365,K23,HONORIS,2,1,2022-09-24,/matches/2359119/k23-vs-honoris-cct-central-europe-series-2
1366,ENCE,777,16,13,2022-09-24,/matches/2359099/ence-vs-777-pelaajat-nordic-masters-fall-2022-blast-premier-qualifier
1367,Liquid,Eternal Fire,0,2,2022-09-24,/matches/2357748/liquid-vs-eternal-fire-esl-pro-league-season-16
1368,SC,Levadia,2,0,2022-09-24,/matches/2359182/sc-vs-levadia-telia-estonia-cup-2022-finals
1369,Meta BR,Isurus,0,2,2022-09-24,/matches/2359165/meta-br-vs-isurus-cct-south-america-series-2
1370,777,Copenhagen Flames,19,16,2022-09-24,/matches/2359098/777-vs-copenhagen-flames-pelaajat-nordic-masters-fall-2022-blast-premier-qualifier
1371,ENCE,HAVU,13,16,2022-09-24,/matches/2359097/ence-vs-havu-pelaajat-nordic-masters-fall-2022-blast-premier-qualifier
1372,Nixuh,Goliath,2,0,2022-09-24,/matches/2359180/nixuh-vs-goliath-telkom-vs-gaming-masters-2022
1373,0to100,Strive in chaos,16,6,2022-09-24,/matches/2359107/0to100-vs-strive-in-chaos-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
1374,Copenhagen Flames,HAVU,12,16,2022-09-24,/matches/2359067/copenhagen-flames-vs-havu-pelaajat-nordic-masters-fall-2022-blast-premier-qualifier
1375,Movistar Riders,Evil Geniuses,0,2,2022-09-24,/matches/2357747/movistar-riders-vs-evil-geniuses-esl-pro-league-season-16
1376,los kogutos,Illuminar,0,2,2022-09-24,/matches/2359118/los-kogutos-vs-illuminar-cct-central-europe-series-2
1377,ex-SKADE,Eternal Fire,16,11,2022-09-24,/matches/2359106/ex-skade-vs-eternal-fire-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
1378,ENCE,777,16,6,2022-09-24,/matches/2359066/ence-vs-777-pelaajat-nordic-masters-fall-2022-blast-premier-qualifier
1379,Eternal Fire,Strive in chaos,16,6,2022-09-24,/matches/2358957/eternal-fire-vs-strive-in-chaos-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
1380,AirBNB Incident,gold medalists,0,2,2022-09-24,/matches/2359177/airbnb-incident-vs-gold-medalists-brisvegas-spring-2022
1381,blingus,Ozone,2,0,2022-09-24,/matches/2359176/blingus-vs-ozone-brisvegas-spring-2022
1382,ex-SKADE,0to100,16,9,2022-09-24,/matches/2358956/ex-skade-vs-0to100-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
1383,blingus,AirBNB Incident,7,16,2022-09-24,/matches/2359174/blingus-vs-airbnb-incident-brisvegas-spring-2022
1384,gold medalists,Ozone,16,9,2022-09-24,/matches/2359173/gold-medalists-vs-ozone-brisvegas-spring-2022
1385,ATK,EG White,13,16,2022-09-24,/matches/2359162/atk-vs-eg-white-ace-north-american-masters-fall-2022-blast-premier-qualifier
1386,TeamOne,Brazen,2,0,2022-09-24,/matches/2358569/teamone-vs-brazen-esl-challenger-league-season-42-north-america
1387,EG White,Brazen,1,0,2022-09-24,/matches/2359161/eg-white-vs-brazen-ace-north-american-masters-fall-2022-blast-premier-qualifier
1388,Strife,ATK,16,12,2022-09-24,/matches/2359160/strife-vs-atk-ace-north-american-masters-fall-2022-blast-premier-qualifier
1389,Detonate,Vendetta,0,2,2022-09-24,/matches/2358572/detonate-vs-vendetta-esl-challenger-league-season-42-north-america
1390,ATK,Brazen,16,2,2022-09-24,/matches/2359132/atk-vs-brazen-ace-north-american-masters-fall-2022-blast-premier-qualifier
1391,EG White,Strife,17,19,2022-09-24,/matches/2359131/eg-white-vs-strife-ace-north-american-masters-fall-2022-blast-premier-qualifier
1392,Boca Juniors,ODDIK,0,2,2022-09-24,/matches/2359048/boca-juniors-vs-oddik-cct-south-america-series-2
1393,Nouns,BHOP,16,11,2022-09-24,/matches/2359149/nouns-vs-bhop-ace-north-american-masters-fall-2022-blast-premier-qualifier
1394,Isurus,Mad Kings,16,3,2022-09-24,/matches/2359125/isurus-vs-mad-kings-americas-supercup-2022
1395,Sojoga,BHOP,12,16,2022-09-24,/matches/2359139/sojoga-vs-bhop-ace-north-american-masters-fall-2022-blast-premier-qualifier
1396,Furious,The Union,6,16,2022-09-24,/matches/2359124/furious-vs-the-union-americas-supercup-2022
1397,homeless,SWS,1,2,2022-08-15,/matches/2357774/homeless-vs-sws-cct-south-america-series-1
1398,Ooredoo Thunders,InTheClub,14,16,2022-08-15,/matches/2357893/ooredoo-thunders-vs-intheclub-iem-road-to-rio-2022-middle-east-open-qualifier-1
1399,NASR,Triple 6,13,16,2022-08-15,/matches/2357891/nasr-vs-triple-6-iem-road-to-rio-2022-middle-east-open-qualifier-1
1400,Aseris,EagleEye,16,5,2022-08-15,/matches/2357892/aseris-vs-eagleeye-iem-road-to-rio-2022-middle-east-open-qualifier-1
1401,JiJieHao International,POGGERZ,16,6,2022-08-15,/matches/2357894/jijiehao-international-vs-poggerz-iem-road-to-rio-2022-middle-east-open-qualifier-1
1402,Meta BR,Los Grandes Academy,2,0,2022-08-15,/matches/2357773/meta-br-vs-los-grandes-academy-cct-south-america-series-1
1403,IHC,QUAZAR,16,14,2022-08-15,/matches/2357885/ihc-vs-quazar-iem-road-to-rio-2022-asia-open-qualifier-1
1404,EYEBALLERS,Sashi,2,0,2022-08-15,/matches/2357821/eyeballers-vs-sashi-elisa-invitational-fall-2022-contenders
1405,D13,Flaggers,16,8,2022-08-15,/matches/2357886/d13-vs-flaggers-iem-road-to-rio-2022-asia-open-qualifier-1
1406,Clutch,NKT,1,16,2022-08-15,/matches/2357887/clutch-vs-nkt-iem-road-to-rio-2022-asia-open-qualifier-1
1407,Dobegaem,ARAVT,8,16,2022-08-15,/matches/2357888/dobegaem-vs-aravt-iem-road-to-rio-2022-asia-open-qualifier-1
1408,XXG,TYLOO,7,16,2022-08-15,/matches/2357882/xxg-vs-tyloo-iem-road-to-rio-2022-china-open-qualifier-1
1409,1PIN,EKO,0,2,2022-08-31,/matches/2358491/1pin-vs-eko-steelseries-nova-cup-uk-ireland-fall-2022
1410,1WIN,9INE,2,1,2022-08-31,/matches/2358299/1win-vs-9ine-esl-challenger-league-season-42-europe
1411,Sprout,Sangal,1,2,2022-08-31,/matches/2358487/sprout-vs-sangal-steelseries-nova-cup-dach-fall-2022
1412,MASONIC,SINNERS,2,1,2022-08-31,/matches/2358042/masonic-vs-sinners-flow-fireleague-2022-europe-closed-qualifier
1413,SAW,forZe,0,2,2022-08-31,/matches/2358300/saw-vs-forze-esl-challenger-league-season-42-europe
1414,Ninjas in Pyjamas,fnatic,0,2,2022-08-31,/matches/2357695/ninjas-in-pyjamas-vs-fnatic-esl-pro-league-season-16
1415,Into the Breach,tokyoxd,2,0,2022-08-31,/matches/2358490/into-the-breach-vs-tokyoxd-steelseries-nova-cup-uk-ireland-fall-2022
1416,Falcons,LDLC,1,2,2022-08-31,/matches/2358484/falcons-vs-ldlc-steelseries-nova-cup-france-fall-2022
1417,Vitality,Endpoint,2,0,2022-08-31,/matches/2357694/vitality-vs-endpoint-esl-pro-league-season-16
1418,SKADE X,JANO,2,1,2022-08-31,/matches/2358266/skade-x-vs-jano-elisa-invitational-fall-2022-contenders
1419,Natus Vincere,Spirit,2,0,2022-08-31,/matches/2357693/natus-vincere-vs-spirit-esl-pro-league-season-16
1420,Tricked,B8,0,2,2022-08-31,/matches/2358265/tricked-vs-b8-elisa-invitational-fall-2022-contenders
1421,ATK,timbermen,2,1,2022-08-31,/matches/2358281/atk-vs-timbermen-esl-challenger-league-season-42-north-america
1422,Victorum,Vendetta,1,2,2022-08-31,/matches/2358283/victorum-vs-vendetta-esl-challenger-league-season-42-north-america
1423,Davenport University,Brazen,0,2,2022-08-31,/matches/2358280/davenport-university-vs-brazen-esl-challenger-league-season-42-north-america
1424,Detonate,BHOP,0,2,2022-08-31,/matches/2358282/detonate-vs-bhop-esl-challenger-league-season-42-north-america
1425,Daotsu,AJF,2,0,2022-08-31,/matches/2358489/daotsu-vs-ajf-liga-gamers-club-2022-serie-a-august-cup
1426,The Union,Stars Horizon,1,2,2022-08-31,/matches/2358488/the-union-vs-stars-horizon-liga-gamers-club-2022-serie-a-august-cup
1427,Sashi,Tricked,9,16,2022-09-08,/matches/2358622/sashi-vs-tricked-esl-challenger-rotterdam-2022-europe-open-qualifier-1
1428,TeamOne,BLVKHVND,2,0,2022-09-08,/matches/2358614/teamone-vs-blvkhvnd-fragadelphia-17-last-chance-qualifier
1429,EG White,Vireo.pro,2,0,2022-09-08,/matches/2358619/eg-white-vs-vireopro-fragadelphia-17-last-chance-qualifier
1430,Websterz,los kogutos,16,14,2022-09-08,/matches/2358621/websterz-vs-los-kogutos-esl-challenger-rotterdam-2022-europe-open-qualifier-1
1431,ARCTIC,ODDIK,2,0,2022-09-08,/matches/2358611/arctic-vs-oddik-cbcs-masters-festival-2022-finals
1432,FaZe,MIBR,2,1,2022-09-08,/matches/2357713/faze-vs-mibr-esl-pro-league-season-16
1433,SC,ECLOT,2,0,2022-09-08,/matches/2358567/sc-vs-eclot-steelseries-nova-cup-western-europe-fall-2022
1434,Strive in chaos,0to100,2,0,2022-09-08,/matches/2358592/strive-in-chaos-vs-0to100-res-season-3
1435,Hotspurs,B8,2,1,2022-09-08,/matches/2358610/hotspurs-vs-b8-elisa-invitational-fall-2022-contenders
1436,ECLOT,Movistar Riders,2,1,2022-09-08,/matches/2358566/eclot-vs-movistar-riders-steelseries-nova-cup-western-europe-fall-2022
1437,G2,BIG,2,0,2022-09-08,/matches/2357712/g2-vs-big-esl-pro-league-season-16
1438,Tricked,SKADE X,0,2,2022-09-08,/matches/2358609/tricked-vs-skade-x-elisa-invitational-fall-2022-contenders
1439,RCL,9 Pandas,0,2,2022-09-08,/matches/2358607/rcl-vs-9-pandas-cyberpark-cup-2022
1440,Outsiders,FTW,2,0,2022-09-08,/matches/2357711/outsiders-vs-ftw-esl-pro-league-season-16
1441,PROSPECTS,ECLOT,1,2,2022-09-08,/matches/2358608/prospects-vs-eclot-elisa-invitational-fall-2022-contenders
1442,Unjustified,Brazen,0,2,2022-09-08,/matches/2358575/unjustified-vs-brazen-esl-challenger-league-season-42-north-america
1443,timbermen,TeamOne,0,2,2022-09-08,/matches/2358613/timbermen-vs-teamone-esl-challenger-rotterdam-2022-north-america-open-qualifier-1
1444,TeamOne,Phantom Troupe,16,5,2022-09-08,/matches/2358599/teamone-vs-phantom-troupe-esl-challenger-rotterdam-2022-north-america-open-qualifier-1
1445,Vendetta,timbermen,7,16,2022-09-08,/matches/2358598/vendetta-vs-timbermen-esl-challenger-rotterdam-2022-north-america-open-qualifier-1
1446,Natus Vincere,Ninjas in Pyjamas,1,2,2022-09-04,/matches/2357705/natus-vincere-vs-ninjas-in-pyjamas-esl-pro-league-season-16
1447,Sharks,Daotsu,1,2,2022-09-04,/matches/2358548/sharks-vs-daotsu-cbcs-masters-festival-2022
1448,MASONIC,SAW,2,1,2022-09-04,/matches/2358539/masonic-vs-saw-flow-fireleague-2022-europe-closed-qualifier
1449,fnatic,Endpoint,2,0,2022-09-04,/matches/2357707/fnatic-vs-endpoint-esl-pro-league-season-16
1450,Vitality,Spirit,2,0,2022-09-04,/matches/2357706/vitality-vs-spirit-esl-pro-league-season-16
1451,X,0to100,0,2,2022-09-04,/matches/2358538/x-vs-0to100-res-season-3
1452,1PIN,EKO,1,2,2022-09-04,/matches/2358557/1pin-vs-eko-ukic-beyond-summer-invitational-2022
1453,ECLOT,Cryptova,2,1,2022-09-04,/matches/2358581/eclot-vs-cryptova-tipsport-prague-cup-2022
1454,1WIN,MIBR,1,2,2022-09-04,/matches/2358470/1win-vs-mibr-cct-central-europe-series-1
1455,Eternal Fire,Brosskiez,3,0,2022-09-04,/matches/2358546/eternal-fire-vs-brosskiez-esa-supremes-fall-2022
1456,Strive in chaos,Partizan,2,0,2022-09-04,/matches/2358508/strive-in-chaos-vs-partizan-res-season-3
1457,SINNERS,Cryptova,16,5,2022-09-04,/matches/2358514/sinners-vs-cryptova-tipsport-prague-cup-2022
1458,Into the Breach,BLVKHVND,2,0,2022-09-04,/matches/2358556/into-the-breach-vs-blvkhvnd-ukic-beyond-summer-invitational-2022
1459,MIBR,EC Kyiv,2,0,2022-09-04,/matches/2358469/mibr-vs-ec-kyiv-cct-central-europe-series-1
1460,ECLOT,TITANS,12,16,2022-09-04,/matches/2358515/eclot-vs-titans-tipsport-prague-cup-2022
1461,Falcons,1WIN,0,2,2022-09-04,/matches/2358468/falcons-vs-1win-cct-central-europe-series-1
1462,Imperial,paiN,1,2,2022-09-04,/matches/2358348/imperial-vs-pain-esl-challenger-melbourne-2022
1463,paiN,Wings Up,2,0,2022-09-04,/matches/2358347/pain-vs-wings-up-esl-challenger-melbourne-2022
1464,Davenport University,Northern Forces,16,14,2022-09-04,/matches/2358176/davenport-university-vs-northern-forces-iem-road-to-rio-2022-north-america-open-qualifier-3
1465,Strife,Pete's Hookah Lounge,12,16,2022-09-04,/matches/2358170/strife-vs-petes-hookah-lounge-iem-road-to-rio-2022-north-america-open-qualifier-3
1466,Unjustified,Brazen,16,12,2022-09-04,/matches/2358174/unjustified-vs-brazen-iem-road-to-rio-2022-north-america-open-qualifier-3
1467,BHOP,Victorum,16,10,2022-09-04,/matches/2358177/bhop-vs-victorum-iem-road-to-rio-2022-north-america-open-qualifier-3
1468,X13,Detonate,16,14,2022-09-04,/matches/2358171/x13-vs-detonate-iem-road-to-rio-2022-north-america-open-qualifier-3
1469,Infinity,Mythic,16,8,2022-09-04,/matches/2358172/infinity-vs-mythic-iem-road-to-rio-2022-north-america-open-qualifier-3
1470,Limitless,timbermen,14,16,2022-09-04,/matches/2358173/limitless-vs-timbermen-iem-road-to-rio-2022-north-america-open-qualifier-3
1471,Vendetta,TeamOne,9,16,2022-09-04,/matches/2358175/vendetta-vs-teamone-iem-road-to-rio-2022-north-america-open-qualifier-3
1472,Entropiq,Imperial,0,2,2022-09-04,/matches/2358346/entropiq-vs-imperial-esl-challenger-melbourne-2022
1473,ODDIK,The Union,2,1,2022-09-04,/matches/2358547/oddik-vs-the-union-cbcs-masters-festival-2022
1474,Into the Breach,K10,2,0,2022-09-04,/matches/2358522/into-the-breach-vs-k10-ukic-beyond-summer-invitational-2022
1475,Falcons,ECSTATIC,2,1,2022-09-07,/matches/2357814/falcons-vs-ecstatic-esl-challenger-league-season-42-europe
1476,fnatic,SC,2,1,2022-09-07,/matches/2358565/fnatic-vs-sc-steelseries-nova-cup-western-europe-fall-2022
1477,G2,MIBR,2,0,2022-09-07,/matches/2357710/g2-vs-mibr-esl-pro-league-season-16
1478,0to100,BLUEJAYS,2,0,2022-09-07,/matches/2358591/0to100-vs-bluejays-res-season-3
1479,Bad News Eagles,UNGENTIUM,2,0,2022-09-07,/matches/2357813/bad-news-eagles-vs-ungentium-esl-challenger-league-season-42-europe
1480,Outsiders,BIG,2,0,2022-09-07,/matches/2357709/outsiders-vs-big-esl-pro-league-season-16
1481,Movistar Riders,SC,12,16,2022-09-07,/matches/2358564/movistar-riders-vs-sc-steelseries-nova-cup-western-europe-fall-2022
1482,AVANGAR,9 Pandas,0,2,2022-09-07,/matches/2358590/avangar-vs-9-pandas-cyberpark-cup-2022
1483,fnatic,ECLOT,16,6,2022-09-07,/matches/2358563/fnatic-vs-eclot-steelseries-nova-cup-western-europe-fall-2022
1484,EYEBALLERS,B8,2,0,2022-09-07,/matches/2358528/eyeballers-vs-b8-elisa-invitational-fall-2022-contenders
1485,Russia U18,Kazakhstan U18,1,2,2022-09-07,/matches/2358600/russia-u18-vs-kazakhstan-u18-cybertour-u18-cup-2022
1486,FaZe,FTW,2,0,2022-09-07,/matches/2357708/faze-vs-ftw-esl-pro-league-season-16
1487,SKADE X,MASONIC,0,2,2022-09-07,/matches/2358527/skade-x-vs-masonic-elisa-invitational-fall-2022-contenders
1488,Strife,Phantom Troupe,21,25,2022-09-07,/matches/2358597/strife-vs-phantom-troupe-esl-challenger-rotterdam-2022-north-america-open-qualifier-1
1489,BHOP,TeamOne,14,16,2022-09-07,/matches/2358595/bhop-vs-teamone-esl-challenger-rotterdam-2022-north-america-open-qualifier-1
1490,timbermen,Heroic,16,9,2022-09-07,/matches/2358596/timbermen-vs-heroic-esl-challenger-rotterdam-2022-north-america-open-qualifier-1
1491,EG Black,Vendetta,12,16,2022-09-07,/matches/2358594/eg-black-vs-vendetta-esl-challenger-rotterdam-2022-north-america-open-qualifier-1
1492,Vitality,Astralis,17,19,2022-08-19,/matches/2357655/vitality-vs-astralis-blast-premier-fall-groups-2022
1493,Boca Juniors,Isurus,0,2,2022-08-19,/matches/2358047/boca-juniors-vs-isurus-cct-south-america-series-1
1494,Ninjas in Pyjamas,Astralis,9,16,2022-08-19,/matches/2357652/ninjas-in-pyjamas-vs-astralis-blast-premier-fall-groups-2022
1495,OG,Astralis,9,16,2022-08-19,/matches/2357649/og-vs-astralis-blast-premier-fall-groups-2022
1496,Vitality,Ninjas in Pyjamas,16,12,2022-08-19,/matches/2357646/vitality-vs-ninjas-in-pyjamas-blast-premier-fall-groups-2022
1497,Los Grandes Academy,homeless,1,0,2022-08-19,/matches/2358046/los-grandes-academy-vs-homeless-cct-south-america-series-1
1498,Ninjas in Pyjamas,Astralis,16,10,2022-08-19,/matches/2357643/ninjas-in-pyjamas-vs-astralis-blast-premier-fall-groups-2022
1499,Vitality,OG,16,11,2022-08-19,/matches/2357640/vitality-vs-og-blast-premier-fall-groups-2022
1500,timbermen,Infinity,2,0,2022-08-19,/matches/2357974/timbermen-vs-infinity-egl-premier-season-3
1501,The Union,Capivara Strong,2,1,2022-08-19,/matches/2357973/the-union-vs-capivara-strong-cct-south-america-series-1
1502,WINDINGO,Meta BR,0,2,2022-08-19,/matches/2357972/windingo-vs-meta-br-cct-south-america-series-1
1503,Complexity,Isurus,2,1,2022-10-08,/matches/2358381/complexity-vs-isurus-iem-road-to-rio-2022-americas-rmr
1504,forZe,Bad News Eagles,1,2,2022-10-08,/matches/2358447/forze-vs-bad-news-eagles-iem-road-to-rio-2022-europe-rmr-a
1505,GamerLegion,B8,2,0,2022-10-08,/matches/2358449/gamerlegion-vs-b8-iem-road-to-rio-2022-europe-rmr-a
1506,Atlantic,SERA,2,0,2022-10-08,/matches/2359430/atlantic-vs-sera-road-to-astralis-nexus-2
1507,fnatic,1WIN,2,0,2022-10-08,/matches/2358448/fnatic-vs-1win-iem-road-to-rio-2022-europe-rmr-a
1508,Imperial,Nouns,2,0,2022-10-08,/matches/2358380/imperial-vs-nouns-iem-road-to-rio-2022-americas-rmr
1509,eSuba,Enterprise,1,2,2022-10-08,/matches/2359399/esuba-vs-enterprise-sazka-eleague-fall-2022-finals
1510,Falcons,HEET,2,1,2022-10-08,/matches/2358444/falcons-vs-heet-iem-road-to-rio-2022-europe-rmr-b
1511,K23,Monte,2,0,2022-10-08,/matches/2358446/k23-vs-monte-iem-road-to-rio-2022-europe-rmr-b
1512,Sangal,Illuminar,2,0,2022-10-08,/matches/2358445/sangal-vs-illuminar-iem-road-to-rio-2022-europe-rmr-b
1513,paiN,ATK,2,0,2022-10-08,/matches/2358379/pain-vs-atk-iem-road-to-rio-2022-americas-rmr
1514,OG,Outsiders,2,1,2022-10-08,/matches/2358443/og-vs-outsiders-iem-road-to-rio-2022-europe-rmr-b
1515,MOUZ,Vitality,1,2,2022-10-08,/matches/2358441/mouz-vs-vitality-iem-road-to-rio-2022-europe-rmr-b
1516,SINNERS,Entropiq Prague,2,0,2022-10-08,/matches/2359398/sinners-vs-entropiq-prague-sazka-eleague-fall-2022-finals
1517,BIG,Heroic,0,2,2022-10-08,/matches/2358442/big-vs-heroic-iem-road-to-rio-2022-europe-rmr-b
1518,IHC,Grayhound,2,0,2022-10-08,/matches/2358255/ihc-vs-grayhound-iem-road-to-rio-2022-asia-rmr
1519,JiJieHao International,Rare Atom,2,1,2022-10-08,/matches/2358254/jijiehao-international-vs-rare-atom-iem-road-to-rio-2022-asia-rmr
1520,Red Wolves,Villainous Union,0,2,2022-10-08,/matches/2359396/red-wolves-vs-villainous-union-esea-advanced-season-42-north-america
1521,MIBR,Isurus,1,2,2022-10-08,/matches/2358378/mibr-vs-isurus-iem-road-to-rio-2022-americas-rmr
1522,Imperial,TeamOne,2,1,2022-10-08,/matches/2358377/imperial-vs-teamone-iem-road-to-rio-2022-americas-rmr
1523,IKLA,Into the Breach,2,1,2022-10-11,/matches/2359347/ikla-vs-into-the-breach-elisa-invitational-fall-2022
1524,Zero Tenacity,NeedDOCTOR,0,2,2022-10-11,/matches/2359532/zero-tenacity-vs-needdoctor-jaxi-league-balkan-series-2022
1525,Illuminar,PACT,1,2,2022-10-11,/matches/2359429/illuminar-vs-pact-cct-central-europe-series-3-closed-qualifier
1526,SC,HAVU,2,1,2022-10-11,/matches/2359417/sc-vs-havu-cct-north-europe-series-1
1527,eSuba,HONORIS,0,2,2022-10-11,/matches/2359540/esuba-vs-honoris-cct-central-europe-series-3-closed-qualifier
1528,Monte,BLINK,2,0,2022-10-11,/matches/2359413/monte-vs-blink-cct-south-europe-series-1
1529,allStars,ONYX,2,0,2022-10-11,/matches/2359533/allstars-vs-onyx-jaxi-league-balkan-series-2022
1530,Copenhagen Flames,NAVI Junior,2,1,2022-10-11,/matches/2359412/copenhagen-flames-vs-navi-junior-cct-south-europe-series-1
1531,ex-Finest,Sprout,2,1,2022-10-11,/matches/2359350/ex-finest-vs-sprout-elisa-invitational-fall-2022
1532,Tricked,9INE,2,0,2022-10-11,/matches/2359416/tricked-vs-9ine-cct-north-europe-series-1
1533,HONORIS,Nigma Galaxy,2,0,2022-10-11,/matches/2359427/honoris-vs-nigma-galaxy-cct-central-europe-series-3-closed-qualifier
1534,IKLA,Partizan,2,0,2022-10-11,/matches/2359411/ikla-vs-partizan-cct-south-europe-series-1
1535,eSuba,Wolsung,2,0,2022-10-11,/matches/2359426/esuba-vs-wolsung-cct-central-europe-series-3-closed-qualifier
1536,ex-SKADE,UNGENTIUM,2,0,2022-10-11,/matches/2359415/ex-skade-vs-ungentium-cct-north-europe-series-1
1537,AGO,RIBA UMNI4,1,0,2022-10-11,/matches/2359428/ago-vs-riba-umni4-cct-central-europe-series-3-closed-qualifier
1538,ECSTATIC,EYEBALLERS,0,2,2022-10-11,/matches/2359349/ecstatic-vs-eyeballers-elisa-invitational-fall-2022
1539,Antic,DGG,0,2,2022-10-11,/matches/2359375/antic-vs-dgg-lpl-pro-league-season-11
1540,HAVU,ALTERNATE aTTaX,1,2,2022-10-11,/matches/2359410/havu-vs-alternate-attax-cct-south-europe-series-1
1541,BLUEJAYS,Copenhagen Flames,0,2,2022-10-11,/matches/2359418/bluejays-vs-copenhagen-flames-cct-north-europe-series-1
1542,VERTEX,Nut-E,2,0,2022-10-11,/matches/2359372/vertex-vs-nut-e-lpl-pro-league-season-11
1543,Detonate,DNA,0,1,2022-09-13,/matches/2358836/detonate-vs-dna-cct-north-america-series-1
1544,Paquetá,FUSION,2,1,2022-09-13,/matches/2358791/paquet-vs-fusion-cct-south-america-series-2
1545,UNGENTIUM,ECSTATIC,0,2,2022-09-13,/matches/2358303/ungentium-vs-ecstatic-esl-challenger-league-season-42-europe
1546,Bad News Eagles,Falcons,2,0,2022-09-13,/matches/2358302/bad-news-eagles-vs-falcons-esl-challenger-league-season-42-europe
1547,ECLOT,9INE,2,0,2022-09-13,/matches/2358720/eclot-vs-9ine-cct-central-europe-series-2-closed-qualifier
1548,Forward,AVANGAR,1,2,2022-09-13,/matches/2358770/forward-vs-avangar-pari-patriki-vibe-lan-2022
1549,eSuba,OG Academy,2,1,2022-09-13,/matches/2358719/esuba-vs-og-academy-cct-central-europe-series-2-closed-qualifier
1550,Furious,ex-Holkattes,1,2,2022-09-13,/matches/2358790/furious-vs-ex-holkattes-cct-south-america-series-2
1551,Edward's Team,HeatoN's Team,16,10,2022-09-13,/matches/2358816/edwards-team-vs-heatons-team-kinguin-legends-2022
1552,TITANS,Eternal Fire Academy,2,0,2022-09-13,/matches/2358718/titans-vs-eternal-fire-academy-cct-central-europe-series-2-closed-qualifier
1553,SAW,EYEBALLERS,2,1,2022-09-13,/matches/2358689/saw-vs-eyeballers-elisa-invitational-fall-2022
1554,kennyS' Team,HeatoN's Team,16,11,2022-09-13,/matches/2358815/kennys-team-vs-heatons-team-kinguin-legends-2022
1555,K23,RCL,0,2,2022-09-13,/matches/2358769/k23-vs-rcl-pari-patriki-vibe-lan-2022
1556,NEO's Team,HeatoN's Team,16,14,2022-09-13,/matches/2358814/neos-team-vs-heatons-team-kinguin-legends-2022
1557,los kogutos,Nexus,0,2,2022-09-13,/matches/2358717/los-kogutos-vs-nexus-cct-central-europe-series-2-closed-qualifier
1558,Antic,Frontier,2,0,2022-09-13,/matches/2358478/antic-vs-frontier-esl-australia-nz-championship-season-15
1559,HeatoN's Team,Maikelele's Team,10,16,2022-09-13,/matches/2358813/heatons-team-vs-maikeleles-team-kinguin-legends-2022
1560,GoodJob,BEBRA,2,0,2022-09-13,/matches/2358830/goodjob-vs-bebra-pari-patriki-vibe-lan-2022
1561,pashaBiceps' Team,HeatoN's Team,16,3,2022-09-13,/matches/2358812/pashabiceps-team-vs-heatons-team-kinguin-legends-2022
1562,BLUEJAYS,Sashi,2,0,2022-09-13,/matches/2358688/bluejays-vs-sashi-elisa-invitational-fall-2022
1563,Encore,God's Work,2,0,2022-09-13,/matches/2358477/encore-vs-gods-work-esl-australia-nz-championship-season-15
1564,SWS,MIBR Academy,0,2,2022-09-13,/matches/2358789/sws-vs-mibr-academy-cct-south-america-series-2
1565,TAG,BEBRA,2,1,2022-09-13,/matches/2358811/tag-vs-bebra-pari-patriki-vibe-lan-2022
1566,Meta BR,00NATION,9,16,2022-08-17,/matches/2357908/meta-br-vs-00nation-iem-road-to-rio-2022-south-america-open-qualifier-1
1567,Los Grandes Academy,Stars Horizon,0,2,2022-08-17,/matches/2357967/los-grandes-academy-vs-stars-horizon-cct-south-america-series-1
1568,OG,Portuguese Family,2,0,2022-08-17,/matches/2357962/og-vs-portuguese-family-iem-road-to-rio-2022-europe-open-qualifier-1
1569,Sprout,Falcons,16,14,2022-08-17,/matches/2357960/sprout-vs-falcons-iem-road-to-rio-2022-europe-open-qualifier-1
1570,MOUZ,Aurora,16,6,2022-08-17,/matches/2357961/mouz-vs-aurora-iem-road-to-rio-2022-europe-open-qualifier-1
1571,River Plate,Boca Juniors,2,1,2022-08-17,/matches/2357966/river-plate-vs-boca-juniors-cct-south-america-series-1
1572,Aurora,Falcons,13,16,2022-08-17,/matches/2357956/aurora-vs-falcons-iem-road-to-rio-2022-europe-open-qualifier-1
1573,MOUZ,Sprout,14,16,2022-08-17,/matches/2357957/mouz-vs-sprout-iem-road-to-rio-2022-europe-open-qualifier-1
