,team1,team2,result1,result2,date_of_match,reference
16,TAG,RCL,1,2,2022-09-15,/matches/2358868/tag-vs-rcl-pari-patriki-vibe-lan-2022
17,Liberty,FUSION,0,2,2022-09-15,/matches/2358856/liberty-vs-fusion-cct-south-america-series-2
18,SC,PGE Turow,7,16,2022-09-15,/matches/2358841/sc-vs-pge-turow-gam3rs-x-eu-champions-fall-2022-blast-premier-qualifier
19,NEO's Team,Maikelele's Team,3,16,2022-09-15,/matches/2358826/neos-team-vs-maikeleles-team-kinguin-legends-2022
20,Young Ninjas,los kogutos,1,2,2022-09-15,/matches/2358870/young-ninjas-vs-los-kogutos-cct-central-europe-series-2-closed-qualifier
21,NEO's Team,pashaBiceps' Team,16,7,2022-09-15,/matches/2358825/neos-team-vs-pashabiceps-team-kinguin-legends-2022
22,kennyS' Team,pashaBiceps' Team,16,8,2022-09-15,/matches/2358824/kennys-team-vs-pashabiceps-team-kinguin-legends-2022
23,SINNERS,MASONIC,1,2,2022-09-15,/matches/2358692/sinners-vs-masonic-elisa-invitational-fall-2022
24,Astralis,MOUZ,2,0,2022-09-15,/matches/2357726/astralis-vs-mouz-esl-pro-league-season-16
25,kennyS' Team,Maikelele's Team,16,12,2022-09-15,/matches/2358823/kennys-team-vs-maikeleles-team-kinguin-legends-2022
26,AVANGAR,GoodJob,1,2,2022-09-15,/matches/2358867/avangar-vs-goodjob-pari-patriki-vibe-lan-2022
27,yellow,Nut-E,0,2,2022-09-15,/matches/2358482/yellow-vs-nut-e-esl-australia-nz-championship-season-15
28,Maikelele's Team,Edward's Team,16,8,2022-09-15,/matches/2358822/maikeleles-team-vs-edwards-team-kinguin-legends-2022
29,SC,Nexus,0,2,2022-09-15,/matches/2358869/sc-vs-nexus-cct-central-europe-series-2-closed-qualifier
30,Grayhound,Meat Grinders,2,0,2022-09-15,/matches/2358481/grayhound-vs-meat-grinders-esl-australia-nz-championship-season-15
31,FURIA Academy,O PLANO,1,2,2022-09-15,/matches/2358875/furia-academy-vs-o-plano-esl-challenger-rotterdam-2022-south-america-closed-qualifier
32,Limitless,Electrify Steel,2,1,2022-09-15,/matches/2358840/limitless-vs-electrify-steel-cct-north-america-series-1
33,Strife,BHOP,12,16,2022-09-15,/matches/2358880/strife-vs-bhop-esl-challenger-rotterdam-2022-north-america-open-qualifier-2
34,Iron Blood,EG Black,16,12,2022-09-15,/matches/2358881/iron-blood-vs-eg-black-esl-challenger-rotterdam-2022-north-america-open-qualifier-2
35,Paquetá,Fluxo,1,2,2022-09-15,/matches/2358874/paquet-vs-fluxo-esl-challenger-rotterdam-2022-south-america-closed-qualifier
36,Sojoga,Valence,2,0,2022-09-15,/matches/2358838/sojoga-vs-valence-cct-north-america-series-1
37,MIBR,Phantom Troupe,2,0,2022-09-15,/matches/2358800/mibr-vs-phantom-troupe-esl-challenger-league-season-42-north-america
38,EG Black,Victorum,16,10,2022-09-15,/matches/2358878/eg-black-vs-victorum-esl-challenger-rotterdam-2022-north-america-open-qualifier-2
39,Mythic,BHOP,8,16,2022-09-15,/matches/2358877/mythic-vs-bhop-esl-challenger-rotterdam-2022-north-america-open-qualifier-2
40,Iron Blood,Brazen,16,6,2022-09-15,/matches/2358879/iron-blood-vs-brazen-esl-challenger-rotterdam-2022-north-america-open-qualifier-2
41,Infinity,Strife,3,16,2022-09-15,/matches/2358876/infinity-vs-strife-esl-challenger-rotterdam-2022-north-america-open-qualifier-2
42,Take Flyte,Foggy,2,0,2022-09-15,/matches/2358839/take-flyte-vs-foggy-cct-north-america-series-1
43,Davenport University,Villainous Union,2,0,2022-09-15,/matches/2358837/davenport-university-vs-villainous-union-cct-north-america-series-1
44,O PLANO,Fluxo,1,2,2022-09-15,/matches/2358862/o-plano-vs-fluxo-esl-challenger-rotterdam-2022-south-america-closed-qualifier
45,ODDIK,B4,13,16,2022-09-02,/matches/2357871/oddik-vs-b4-cbcs-masters-festival-2022
46,Vitality,fnatic,2,1,2022-09-02,/matches/2357701/vitality-vs-fnatic-esl-pro-league-season-16
47,Nixuh,DNMK,2,0,2022-09-02,/matches/2358536/nixuh-vs-dnmk-esl-challenger-rotterdam-2022-south-africa-closed-qualifier
48,Zero Tenacity,0to100,1,2,2022-09-02,/matches/2358497/zero-tenacity-vs-0to100-res-season-3
